price,lon,amenities,address,lat,prize_range,name,link,tenure,size
"RM 250,000",101.616072,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)","Jalan Desa 2/9, Desa Aman Puri, 52200, Kuala Lumpur",3.209852,,"Desa Dua Aman Puri, Kepong",https://www.iproperty.com.my/property/desa-dua-aman-puri-kepong-5470183,Freehold,840 sq. ft.
"RM 278,000",101.612943,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)","Jalan Aman, Desa Aman Puri, 52100, Kuala Lumpur",3.210202,,"Aman Dua, Kepong",https://www.iproperty.com.my/property/aman-dua-kepong-5585210,Freehold,837 sq. ft.
"RM 288,000",101.462881,"3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)","Jalan Setia Permai U13 40170 Shah Alam, 40170, Selangor",3.105324,,"Seri Pinang, Shah Alam, Setia Alam",https://www.iproperty.com.my/property/seri-pinang-setia-alam-5623401,Freehold,850 sq. ft.
"RM 325,000",101.647587,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)","Jalan 34/38A, Taman Sri Bintang, Bandar Manjalara, 51200, Ku...",3.186158,,"Nova Ii, Taman Sri Sinar, Nova 2, Segambut Da..",https://www.iproperty.com.my/property/nova-ii-segambut-3307281,Freehold,833 sq. ft.
"RM 300,000",101.678631,"3 Bedroom(s),2 Bathroom(s)","Jalan Klang Lama, Kuala Lumpur",3.103134,,"Pangsapuri Desa Tenaga, Taman Desa, Old Klang..",https://www.iproperty.com.my/property/pangsapuri-desa-tenaga-old-klang-road-5595748,Freehold,750 sq. ft.
"RM 345,000",101.744935,"3+1 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)","Jalan Cu 1/A, 56100, Kuala Lumpur",3.045976,,"Green Suria Apartment, Bandar Tun Hussein Onn..",https://www.iproperty.com.my/property/green-suria-apartment-cheras-5235847,Freehold,"1,027 sq. ft."
"RM 290,000",101.676942,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)","Jalan Rungkup 2, 51200 Jalan Ipoh, WP Kuala Lumpur, 51200, K...",3.197581,,"Pelangi Indah Condominium, Jalan Ipoh",https://www.iproperty.com.my/property/pelangi-indah-condominium-jalan-ipoh-5479580,Freehold,870 sq. ft.
"RM 260,000",101.676942,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)","Jalan Rungkup 2, 51200 Jalan Ipoh, WP Kuala Lumpur, 51200, K...",3.197581,,"Pelangi Indah Condominium, Jalan Ipoh",https://www.iproperty.com.my/property/pelangi-indah-condominium-jalan-ipoh-5614308,Freehold,870 sq. ft.
"RM 345,800",101.746531,"3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)","43200, Selangor",3.043369,,"Green Suria Apartment, Tun Hussein Onn Bandar..",https://www.iproperty.com.my/property/green-suria-apartment-cheras-4735099,Freehold,"1,027 sq. ft."
"RM 345,000",101.747161,"3+1 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)","Jalan Cu 1/A, 56100, Selangor",3.046136,,"Green Suria Apartment, Bandar Tun Hussein Onn..",https://www.iproperty.com.my/property/green-suria-apartment-cheras-5115829,Freehold,"1,027 sq. ft."
"RM 305,000",101.602509,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)","No. 3, Persiaran Meranti, PJU 9,, 41050, Selangor",3.188519,,"Sd Apartments Ii, Bandar Sri Damansara",https://www.iproperty.com.my/property/sd-apartments-ii-bandar-sri-damansara-5601729,Freehold,811 sq. ft.
"RM 290,000",101.71063,"3 Bedroom(s),2 Bathroom(s)","jalan ibukota, 53100, Kuala Lumpur",0.208267,,"Idaman Sutera, Setapak, Gombak, Setapak",https://www.iproperty.com.my/property/idaman-sutera-setapak-5379526,Freehold,845 sq. ft.
"RM 288,000",101.466674,"3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)","Jalan Setia Permai U13 40170 Shah Alam, 40170, Selangor",3.131673,,"Seri Pinang, Shah Alam, Setia Alam",https://www.iproperty.com.my/property/seri-pinang-setia-alam-5535574,Freehold,850 sq. ft.
"RM 305,000",101.674436,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)","Jalan Trolak 9, Taman Sri Kuching, 51200 Segambut,, 51200, K...",3.19491,,"Pangsapuri Seri Gembira, Segambut",https://www.iproperty.com.my/property/pangsapuri-seri-gembira-segambut-5255304,Freehold,970 sq. ft.
"RM 320,000",101.674486,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)","Jalan Trolak 9, Taman Sri Kuching, 51200 Segambut,, 51200, K...",3.194989,,"Pangsapuri Seri Gembira, Segambut",https://www.iproperty.com.my/property/pangsapuri-seri-gembira-segambut-4015368,Freehold,870 sq. ft.
"RM 345,000",101.656483,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)","Jalan Puchong, Off Old Klang Road, 58200, Kuala Lumpur",3.068471,,"Oug Parklane, Old Klang Road, Jalan Klang Lam..",https://www.iproperty.com.my/property/oug-parklane-jalan-klang-lama-(old-klang-road)-5310178,Freehold,950 sq. ft.
"RM 298,000",101.671611,"2 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)","Jalan Matang 2, Off Jalan Kuching, Kuala Lumpur, 51200, Kual...",3.197977,,"Taman Sri Kuching, Jalan Kuching",https://www.iproperty.com.my/property/taman-sri-kuching-jalan-kuching-4968321,Freehold,774 sq. ft.
"RM 330,000",101.687833,"2 Bedroom(s),2 Bathroom(s)","Jalan Barat, Bandar Bukit Jalil, 57000, Kuala Lumpur",3.052765,,"Arena Green, Bukit Jalil",https://www.iproperty.com.my/property/arena-green-bukit-jalil-5338275,Freehold,729 sq. ft.
"RM 255,000",101.615277,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)","Desa Aman Puri, Kepong, 52100, Kuala Lumpur, 52100, Kuala Lu...",3.210466,,"Desa Dua Apartment, Kepong",https://www.iproperty.com.my/property/desa-dua-apartment-kepong-5427360,Freehold,837 sq. ft.
"RM 265,000",101.708336,"3 Bedroom(s),1 Bathroom(s),1 Parking Bay(s)","Jalan Langkawi, Setapak, 53300, Kuala Lumpur",3.200666,,"Teratai Mewah Apartment Block 4 & 6, Setapak",https://www.iproperty.com.my/property/teratai-mewah-apartment-block-4--6-setapak-5568198,Freehold,653 sq. ft.
"RM 345,000",101.656483,"3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)","Jalan Puchong, Off Old Klang Road, 58200, Kuala Lumpur",3.068471,,"Oug Parklane, Old Klang Road, Jalan Klang Lam..",https://www.iproperty.com.my/property/oug-parklane-jalan-klang-lama-(old-klang-road)-5310175,Freehold,950 sq. ft.
"RM 350,000",101.690619,"3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)","JLN SEJAHTERA 5/1 serdang heights, 43300, Selangor",3.027944,,"Cahaya Villa Residence, Bukit Serdang, Seri K..",https://www.iproperty.com.my/property/cahaya-villa-residence-seri-kembangan-3091071,Freehold,875 sq. ft.
"RM 350,000",101.741217,"2 Bedroom(s),1 Bathroom(s)","pandana perdana, Kuala Lumpur",3.126379,,"Taman Cheras Indah, Cheras",https://www.iproperty.com.my/property/2-sty-terrace-link-house-cheras-5350902,Freehold,"1,000 sq. ft."
"RM 265,000",101.611623,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)","Persiaran Meranti, PJU 9, 52200, Selangor",3.181858,,"Sd Apartments, Bandar Sri Damansara, Petaling..",https://www.iproperty.com.my/property/sd-apartments-petaling-jaya-5389406,Freehold,811 sq. ft.
"RM 338,000",101.766085,"3+1 Bedroom(s),2 Bathroom(s)","Jalan Cu 1/A, 56100, Selangor",3.053655,,"Green Suria Apartment, Taman Cheras Utama, Ch..",https://www.iproperty.com.my/property/green-suria-apartment-cheras-4382021,Freehold,"1,024 sq. ft."
"RM 265,000",101.602509,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)","No. 3, Persiaran Meranti, PJU 9,, 41050, Selangor",3.188519,,"Sd Apartments Ii, Bandar Sri Damansara",https://www.iproperty.com.my/property/sd-apartments-ii-bandar-sri-damansara-5412504,Freehold,811 sq. ft.
"RM 340,000",101.608441,"3 Bedroom(s),2 Bathroom(s)","Kipark Damansara, 52200 Kepong, WP Kuala Lumpur, 52200, Kual...",3.205139,,"Suria Kipark Damansara, Kepong",https://www.iproperty.com.my/property/suria-kipark-damansara-kepong-5619997,Freehold,976 sq. ft.
"RM 335,000",101.609244,"3 Bedroom(s),2 Bathroom(s)","Kipark Damansara, 52200 Kepong, WP Kuala Lumpur, 52200, Kual...",3.206151,,"Suria Kipark Damansara, Kepong",https://www.iproperty.com.my/property/suria-kipark-damansara-kepong-4586158,Freehold,948 sq. ft.
"RM 260,000",101.615177,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",Selangor,3.194485,,"Sd Tiara Apartment, Sri Damansara, Bandar Sri..",https://www.iproperty.com.my/property/sd-tiara-apartment-bandar-sri-damansara-5358799,Freehold,820 sq. ft.
"RM 280,000",101.611623,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)","Persiaran Meranti, PJU 9, 52200, Selangor",3.181858,,"Sd Apartments, Bandar Sri Damansara, Petaling..",https://www.iproperty.com.my/property/sd-apartments-petaling-jaya-5574965,Freehold,811 sq. ft.
"RM 307,000",101.636345,"3 Bedroom(s),2 Bathroom(s)",Selangor,2.927483,,"The Arc, Cyberjaya",https://www.iproperty.com.my/property/the-arc-cyberjaya-3953655,Freehold,946 sq. ft.
"RM 300,000",101.811356,"3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)","Prima Saujana Permai, 43000, Selangor",3.01258,,"Pangsapuri Saujana Permai, Mutiara Height ,Ka..",https://www.iproperty.com.my/property/pangsapuri-saujana-permai-kajang-5212480,Freehold,"1,001 sq. ft."
"RM 320,000",101.786338,"3+1 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)","Jalan Pahlawan 1, Bandar Mahkota Cheras, Selangor",3.06606,,"Suria Residence, Cheras South, Cheras",https://www.iproperty.com.my/property/suria-residence-cheras-5523208,Freehold,"1,057 sq. ft."
"RM 350,000",101.705246,"2 Bedroom(s),1 Bathroom(s)","Jalam Gombak Sejahtera, Gombak, 53000, Kuala Lumpur",3.198042,,"Mh Platinum Residences, Setapak",https://www.iproperty.com.my/property/mh-platinum-residences-setapak-4983997,Freehold,719 sq. ft.
"RM 285,000",101.623848,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)","Persiaran Puchong Jaya Selatan, Bandar Bandar Jaya, 47100, S...",3.041269,,"Sutramas, Puchong",https://www.iproperty.com.my/property/sutramas-puchong-5171555,Freehold,845 sq. ft.
"RM 260,000",101.639422,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)","Persiaran Multimedia, 63000, Selangor",2.923832,,"Cyberia Smart Homes, Cyberjaya",https://www.iproperty.com.my/property/cyberia-smart-homes-cyberjaya-3704337,Freehold,"1,062 sq. ft."
"RM 318,000",101.615177,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",Selangor,3.194485,,"Sd Tiara Apartment, Sri Damansara, Bandar Sri..",https://www.iproperty.com.my/property/sd-tiara-apartment-bandar-sri-damansara-5314267,Freehold,830 sq. ft.
"RM 308,000",101.811356,"3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)","Prima Saujana Permai, 43000, Selangor",3.01258,,"Pangsapuri Saujana Permai, Mutiara Height ,Ka..",https://www.iproperty.com.my/property/pangsapuri-saujana-permai-kajang-4921923,Freehold,"1,069 sq. ft."
"RM 330,000",101.623848,"3 Bedroom(s),2 Bathroom(s)","Persiaran Puchong Jaya Selatan, Bandar Bandar Jaya, 47100, S...",3.041269,,"Sutramas, Puchong",https://www.iproperty.com.my/property/sutramas-puchong-3151516,Freehold,845 sq. ft.
"RM 320,000",101.811356,"3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)","Jalan Bukit Mutiara 4, Taman Bukit Mutiara, 43000, Selangor",3.01258,,"Pangsapuri Saujana Permai, Mutiara Height, Ka..",https://www.iproperty.com.my/property/pangsapuri-saujana-permai-kajang-5263115,Freehold,"1,055 sq. ft."
"RM 330,000",101.609244,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)","Kipark Damansara, 52200 Kepong, WP Kuala Lumpur, 52200, Kual...",3.206151,,"Suria Kipark Damansara, Kepong",https://www.iproperty.com.my/property/suria-kipark-damansara-kepong-5595138,Freehold,948 sq. ft.
"RM 350,000",101.629972,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)","Jalan Pipit, Bandar Puchong Jaya, 47100, Selangor",3.079666,,"Impian Heights, Puchong",https://www.iproperty.com.my/property/impian-heights-puchong-5610342,Freehold,"1,079 sq. ft."
"RM 305,000",101.628368,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)","Persiaran Puchong Jaya Selatan, Bandar Puchong Jay, 47100, S...",3.044095,,"D' Cahaya Apartment, Puchong",https://www.iproperty.com.my/property/d%27-cahaya-apartment-puchong-5244915,Freehold,912 sq. ft.
"RM 300,000",101.466948,"3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)","Jalan Setia Permai U13 40170 Shah Alam, 40170, Selangor",3.131582,,"Seri Pinang, Setia Alam, Shah Alam",https://www.iproperty.com.my/property/seri-pinang-shah-alam-4959864,Freehold,850 sq. ft.
"RM 320,000",101.453676,"Studio Bedroom(s),1 Bathroom(s),1 Parking Bay(s)","Persiaran Setia Perdana, 40170, Selangor",3.114548,,"Education City Sentral, Setia Alam, Shah Alam",https://www.iproperty.com.my/property/education-city-sentral-shah-alam-5235347,Freehold,502 sq. ft.
"RM 275,000",101.766499,"3+1 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)","Jalan Ukay Bistari, Ukay, 68000, Selangor",3.196469,,"Residensi Bistaria, Ulu Kelang, Ampang",https://www.iproperty.com.my/property/residensi-bistaria-ampang-1590073,Freehold,850 sq. ft.
"RM 280,000",101.625588,"3 Bedroom(s),2 Bathroom(s)","Bandar Puchong Jaya, 47100, 47100, Selangor",3.060472,,"Sri Teratai Apartment, Puchong",https://www.iproperty.com.my/property/sri-teratai-apartment-puchong-5396578,Freehold,800 sq. ft.
"RM 288,000",101.462881,"3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)","Jalan Setia Permai U13 40170 Shah Alam, 40170, Selangor",3.105324,,"Seri Pinang, Shah Alam, Setia Alam",https://www.iproperty.com.my/property/seri-pinang-setia-alam-5600658,Freehold,850 sq. ft.
"RM 299,000",101.612592,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)","Jalan Aman, Desa Aman Puri, 52100, Kuala Lumpur",3.211559,,"Aman Puri Apartment, Desa Aman Puri, Kepong",https://www.iproperty.com.my/property/aman-puri-apartment-kepong-5496612,Freehold,850 sq. ft.
"RM 335,000",101.771164,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)","Hussein Onn, Cheras Perdana, Selangor",3.047354,,"Cheras Perdana Ria Apartment, D Puncak Suasan..",https://www.iproperty.com.my/property/cheras-perdana-ria-apartment-cheras-5231713,Freehold,"1,088 sq. ft."
"RM 350,000",101.5893,"3+1 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)","Jalan Usj 8/1 , Selangor",3.043329,,"Goodyear Court 6, Usj, Subang Jaya",https://www.iproperty.com.my/property/goodyear-court-6-subang-jaya-5223788,Freehold,"1,001 sq. ft."
"RM 300,000",101.811356,"3 Bedroom(s),2 Bathroom(s)","Prima Saujana Permai, 43000, Selangor",3.01258,,"Pangsapuri Saujana Permai, Mutiara Height, Ka..",https://www.iproperty.com.my/property/pangsapuri-saujana-permai-kajang-4486031,Freehold,"1,001 sq. ft."
"RM 348,000",101.628187,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)","Jalan Bukit Puchong, Bandar Bukit Puchong, 47100, Selangor",2.97936,,"Nilam Puri, Bandar Bukit Puchong, Puchong",https://www.iproperty.com.my/property/nilam-puri-puchong-5258377,Freehold,915 sq. ft.
"RM 320,000",101.812658,"3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)","Persiaran Puncak Saujana, 43000, Selangor",3.017251,,"Puncak Saujana, Taman Puncak Saujana, Kajang",https://www.iproperty.com.my/property/puncak-saujana-kajang-5598631,Freehold,"1,055 sq. ft."
"RM 288,000",101.522533,"3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)","Jalan DM, Taman Desa Mutiara, 48000, Selangor",3.327662,,"Taman Desa Mutiara, Bandar Country Homes, Raw..",https://www.iproperty.com.my/property/townhouse-rawang-5384576,Freehold,"1,190 sq. ft."
"RM 292,680",101.455582,"Studio Bedroom(s),1 Bathroom(s),1 Parking Bay(s)","Persiaran Setia Perdana, 40170, Selangor",3.115755,,"Education City Sentral, Setia Alam, Shah Alam",https://www.iproperty.com.my/property/education-city-sentral-shah-alam-5553567,Freehold,502 sq. ft.
"RM 340,000",101.684039,"3 Bedroom(s),2 Bathroom(s)","Jalan Station, 68100, Selangor",3.237884,,"Amara, Selayang",https://www.iproperty.com.my/property/amara-selayang-3379896,Freehold,"1,012 sq. ft."
"RM 345,000",101.526956,"4 Bedroom(s),3 Bathroom(s),4 Parking Bay(s)","Rawang Jalan DM, 48000, Selangor",3.337377,,"Bandar Country Homes Desa Mutiara Rawang, Raw..",https://www.iproperty.com.my/property/townhouse-rawang-5592192,Freehold,"1,384 sq. ft."
"RM 295,000",101.681651,"3 Bedroom(s),2 Bathroom(s)","Jalan Station, 68100, Selangor",3.236516,,"Amara, Selayang",https://www.iproperty.com.my/property/amara-selayang-3249555,Freehold,857 sq. ft.
"RM 339,000",101.61902,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)","Persiaran Puchong Jaya Selatan, Bandar Bandar Jaya, 47100, S...",3.04213,,"Sutramas, Puchong",https://www.iproperty.com.my/property/sutramas-puchong-5529798,Freehold,845 sq. ft.
"RM 330,000",101.687833,"2 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)","Jalan Barat, Bandar Bukit Jalil, 57000, Kuala Lumpur",3.052765,,"Arena Green, Bukit Jalil",https://www.iproperty.com.my/property/arena-green-bukit-jalil-5333231,Freehold,878 sq. ft.
"RM 280,000",101.708496,"3 Bedroom(s),1 Bathroom(s),1 Parking Bay(s)","Jalan Langkawi, 53000, Kuala Lumpur",3.198287,,"Teratai Mewah Apartment, Setapak",https://www.iproperty.com.my/property/teratai-mewah-apartment-setapak-4770729,Freehold,653 sq. ft.
"RM 340,000",101.669762,"3 Bedroom(s),2 Bathroom(s),3 Parking Bay(s)","Jalan Station, 68100, Selangor",3.253582,,"Amara, Selayang",https://www.iproperty.com.my/property/amara-selayang-5486498,Freehold,"1,012 sq. ft."
"RM 338,000",101.629808,"3 Bedroom(s),2 Bathroom(s)","Jalan 57, Taman Desa Jaya, 51200, Kuala Lumpur",3.211093,,"Kepong Central Condominium, Kepong",https://www.iproperty.com.my/property/kepong-central-condominium-kepong-4219604,Freehold,960 sq. ft.
"RM 263,000",101.639422,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)","Persiaran Multimedia, 63000, Selangor",2.923832,,"Cyberia Smart Homes, Cyberjaya",https://www.iproperty.com.my/property/cyberia-smart-homes-cyberjaya-5427763,Freehold,950 sq. ft.
